Basis set,Reference,Target,APDFT$n$,Bond length,"$|\Delta  ho|$",$E^{	ext{APDFT}}$,$ E^{	ext{T[R]}}$,$E^{	ext{CCSD}}$,$|\Delta E_{	ext{APDFT}}|$,$\Delta E_{	ext{trunc}}$,$\Delta E_{	ext{BS}}$
def2-TZVP,CO,LiNa,3,1.4000000000000001,8.201663703563355,-167.3793509038881,-166.877941100292,-167.823085529865,0.4437346259769015,-0.5014098035961183,0.9451444295730198
def2-TZVP,CO,LiNa,4,1.4000000000000001,8.201663703563355,-166.63508307054641,-166.877941100292,-167.823085529865,1.1880024593185965,0.2428580297455767,0.9451444295730198
def2-TZVP,CO,LiNa,5,1.4000000000000001,8.201663703563355,-166.7872592331601,-166.877941100292,-167.823085529865,1.0358262967048972,0.09068186713187742,0.9451444295730198
def2-TZVP,CO,LiNa,1,1.5,8.359893550121228,-140.96436973636136,-167.167706171795,-168.154886368785,27.190516632423623,26.20333643543364,0.987180196989982
def2-TZVP,CO,LiNa,2,1.5,8.359893550121228,-167.8207237277319,-167.167706171795,-168.154886368785,0.3341626410530978,-0.6530175559368843,0.987180196989982
def2-TZVP,CO,LiNa,3,1.5,8.359893550121228,-167.67460021968805,-167.167706171795,-168.154886368785,0.48028614909694056,-0.5068940478930415,0.987180196989982
def2-TZVP,CO,LiNa,4,1.5,8.359893550121228,-166.87117016267067,-167.167706171795,-168.154886368785,1.2837162061143204,0.2965360091243383,0.987180196989982
def2-TZVP,CO,LiNa,5,1.5,8.359893550121228,-167.0654434239707,-167.167706171795,-168.154886368785,1.0894429448142944,0.10226274782431233,0.987180196989982
def2-TZVP,CO,LiNa,1,1.6,8.505605634400908,-140.85570576208426,-167.381405553452,-168.40478086501,27.54907510292574,26.525699791367742,1.0233753115579987
def2-TZVP,CO,LiNa,2,1.6,8.505605634400908,-168.09741762110102,-167.381405553452,-168.40478086501,0.3073632439089806,-0.716012067649018,1.0233753115579987
def2-TZVP,CO,LiNa,3,1.6,8.505605634400908,-167.89703852150745,-167.381405553452,-168.40478086501,0.5077423435025423,-0.5156329680554563,1.0233753115579987
def2-TZVP,CO,LiNa,4,1.6,8.505605634400908,-167.0305194347208,-167.381405553452,-168.40478086501,1.3742614302892093,0.35088611873121067,1.0233753115579987
def2-TZVP,CO,LiNa,5,1.6,8.505605634400908,-167.26089881491515,-167.381405553452,-168.40478086501,1.1438820500948452,0.12050673853684657,1.0233753115579987
def2-TZVP,CO,LiNa,1,1.7000000000000002,8.638739410905492,-140.72186990692404,-167.541615361452,-168.593483269113,27.871613362188953,26.819745454527947,1.0518679076610056
def2-TZVP,CO,LiNa,2,1.7000000000000002,8.638739410905492,-168.32118802193096,-167.541615361452,-168.593483269113,0.27229524718202924,-0.7795726604789763,1.0518679076610056
def2-TZVP,CO,LiNa,3,1.7000000000000002,8.638739410905492,-168.0734440468489,-167.541615361452,-168.593483269113,0.5200392222641028,-0.5318286853969028,1.0518679076610056
def2-TZVP,CO,LiNa,4,1.7000000000000002,8.638739410905492,-167.1380673655768,-167.541615361452,-168.593483269113,1.455415903536192,0.4035479958751864,1.0518679076610056
def2-TZVP,CO,LiNa,5,1.7000000000000002,8.638739410905492,-167.39371425559133,-167.541615361452,-168.593483269113,1.19976901352166,0.14790110586065452,1.0518679076610056
def2-TZVP,CO,LiNa,1,1.8,8.758154006699844,-140.57449831357877,-167.66361408615,-168.736554877422,28.162056563843237,27.089115772571233,1.0729407912720035
def2-TZVP,CO,LiNa,2,1.8,8.758154006699844,-168.50892425352282,-167.66361408615,-168.736554877422,0.22763062389918787,-0.8453101673728156,1.0729407912720035
def2-TZVP,CO,LiNa,3,1.8,8.758154006699844,-168.22017793328845,-167.66361408615,-168.736554877422,0.5163769441335546,-0.5565638471384489,1.0729407912720035
def2-TZVP,CO,LiNa,4,1.8,8.758154006699844,-167.20828837771833,-167.66361408615,-168.736554877422,1.5282664997036761,0.45532570843167264,1.0729407912720035
def2-TZVP,CO,LiNa,5,1.8,8.758154006699844,-167.47682915534457,-167.66361408615,-168.736554877422,1.2597257220774338,0.18678493080543035,1.0729407912720035
def2-TZVP,CO,LiNa,1,1.9000000000000001,8.870734834602386,-140.42127355128255,-167.757559313832,-168.84559282256,28.424319271277454,27.336285762549437,1.0880335087280173
def2-TZVP,CO,LiNa,2,1.9000000000000001,8.870734834602386,-168.67149873282239,-167.757559313832,-168.84559282256,0.17409408973762197,-0.9139394189903953,1.0880335087280173
def2-TZVP,CO,LiNa,3,1.9000000000000001,8.870734834602386,-168.34673868132558,-167.757559313832,-168.84559282256,0.49885414123443184,-0.5891793674935855,1.0880335087280173
def2-TZVP,CO,LiNa,4,1.9000000000000001,8.870734834602386,-167.2487883418205,-167.757559313832,-168.84559282256,1.5968044807395074,0.5087709720114901,1.0880335087280173
def2-TZVP,CO,LiNa,5,1.9000000000000001,8.870734834602386,-167.51861367928285,-167.757559313832,-168.84559282256,1.326979143277157,0.23894563454913964,1.0880335087280173
def2-TZVP,CO,LiNa,1,2.0,8.963523157382355,-140.2671708420018,-167.830347629969,-168.929201163341,28.662030321339188,27.563176787967194,1.0988535333719938
def2-TZVP,CO,LiNa,2,2.0,8.963523157382355,-168.81561041274597,-167.830347629969,-168.929201163341,0.11359075059502288,-0.9852627827769709,1.0988535333719938
def2-TZVP,CO,LiNa,3,2.0,8.963523157382355,-168.45858643939593,-167.830347629969,-168.929201163341,0.47061472394506154,-0.6282388094269322,1.0988535333719938
def2-TZVP,CO,LiNa,4,2.0,8.963523157382355,-167.26325107707555,-167.830347629969,-168.929201163341,1.6659500862654397,0.567096552893446,1.0988535333719938
def2-TZVP,CO,LiNa,5,2.0,8.963523157382355,-167.52502876831775,-167.830347629969,-168.929201163341,1.404172395023238,0.30531886165124433,1.0988535333719938
def2-TZVP,CO,LiNa,1,2.1,9.043256513637964,-140.11515094932136,-167.886899054665,-168.993764589247,28.878613639925646,27.771748105343647,1.106865534581999
def2-TZVP,CO,LiNa,2,2.1,9.043256513637964,-168.94552772091237,-167.886899054665,-168.993764589247,0.0482368683346408,-1.0586286662473583,1.106865534581999
