Basis set,Reference,Target,APDFT$n$,Bond length,"$|\Delta  ho|$",$E^{	ext{APDFT}}$,$ E^{	ext{T[R]}}$,$E^{	ext{CCSD}}$,$|\Delta E_{	ext{APDFT}}|$,$\Delta E_{	ext{trunc}}$,$\Delta E_{	ext{BS}}$
321G,HeMg,LiNa,4,1.6,3.632062819261774,-165.59135984960653,-165.584889485772,-167.32608167009,1.7347218204834576,-0.006470363834523596,1.7411921843179812
321G,HeMg,LiNa,5,1.6,3.632062819261774,-165.60964391868762,-165.584889485772,-167.32608167009,1.716437751402367,-0.02475443291561419,1.7411921843179812
321G,HeMg,LiNa,1,1.7000000000000002,3.6608921982232943,-164.57152436110317,-165.786369841404,-167.540550649654,2.969026288550822,1.2148454803008235,1.7541808082499983
321G,HeMg,LiNa,2,1.7000000000000002,3.6608921982232943,-165.65875262501976,-165.786369841404,-167.540550649654,1.8817980246342358,0.1276172163842375,1.7541808082499983
321G,HeMg,LiNa,3,1.7000000000000002,3.6608921982232943,-165.7899447809431,-165.786369841404,-167.540550649654,1.7506058687108919,-0.003574939539106481,1.7541808082499983
321G,HeMg,LiNa,4,1.7000000000000002,3.6608921982232943,-165.77890392769692,-165.786369841404,-167.540550649654,1.761646721957078,0.007465913707079608,1.7541808082499983
321G,HeMg,LiNa,5,1.7000000000000002,3.6608921982232943,-165.79502087208044,-165.786369841404,-167.540550649654,1.7455297775735517,-0.00865103067644668,1.7541808082499983
321G,HeMg,LiNa,1,1.8,3.6938952888921137,-164.70832488184163,-165.937795845921,-167.698866184301,2.990541302459377,1.2294709640793542,1.7610703383800228
321G,HeMg,LiNa,2,1.8,3.6938952888921137,-165.80593773376623,-165.937795845921,-167.698866184301,1.8929284505347823,0.1318581121547595,1.7610703383800228
321G,HeMg,LiNa,3,1.8,3.6938952888921137,-165.9353259658866,-165.937795845921,-167.698866184301,1.7635402184144198,0.002469880034396965,1.7610703383800228
321G,HeMg,LiNa,4,1.8,3.6938952888921137,-165.91510516823976,-165.937795845921,-167.698866184301,1.7837610160612485,0.02269067768122568,1.7610703383800228
321G,HeMg,LiNa,5,1.8,3.6938952888921137,-165.91387037486038,-165.937795845921,-167.698866184301,1.7849958094406304,0.023925471060607606,1.7610703383800228
321G,HeMg,LiNa,1,1.9000000000000001,3.731885218415684,-164.80813236279715,-166.053029561977,-167.816453082702,3.0083207199048445,1.24489719917986,1.7634235207249844
321G,HeMg,LiNa,2,1.9000000000000001,3.731885218415684,-165.91836137794297,-166.053029561977,-167.816453082702,1.8980917047590253,0.1346681840340409,1.7634235207249844
321G,HeMg,LiNa,3,1.9000000000000001,3.731885218415684,-166.04837554452172,-166.053029561977,-167.816453082702,1.768077538180279,0.004654017455294479,1.7634235207249844
321G,HeMg,LiNa,4,1.9000000000000001,3.731885218415684,-166.01969665669301,-166.053029561977,-167.816453082702,1.796756426008983,0.03333290528399857,1.7634235207249844
321G,HeMg,LiNa,5,1.9000000000000001,3.731885218415684,-165.99251504314879,-166.053029561977,-167.816453082702,1.8239380395532123,0.06051451882822789,1.7634235207249844
321G,HeMg,LiNa,1,2.0,3.7703506590313767,-164.88091547860824,-166.142221573026,-167.904352426026,3.023436947417764,1.2613060944177619,1.7621308530000022
321G,HeMg,LiNa,2,2.0,3.7703506590313767,-166.00534211058002,-166.142221573026,-167.904352426026,1.8990103154459916,0.13687946244598947,1.7621308530000022
321G,HeMg,LiNa,3,2.0,3.7703506590313767,-166.13819774221847,-166.142221573026,-167.904352426026,1.7661546838075424,0.004023830807540207,1.7621308530000022
321G,HeMg,LiNa,4,2.0,3.7703506590313767,-166.10542591235725,-166.142221573026,-167.904352426026,1.7989265136687607,0.0367956606687585,1.7621308530000022
321G,HeMg,LiNa,5,2.0,3.7703506590313767,-166.0545600249178,-166.142221573026,-167.904352426026,1.8497924011082034,0.08766154810820126,1.7621308530000022
321G,HeMg,LiNa,1,2.1,3.8080001635054916,-164.93445097728502,-166.212653598008,-167.970515916722,3.036064939436983,1.2782026207229649,1.757862318714018
321G,HeMg,LiNa,2,2.1,3.8080001635054916,-166.0740699107049,-166.212653598008,-167.970515916722,1.8964460060171007,0.13858368730308257,1.757862318714018
321G,HeMg,LiNa,3,2.1,3.8080001635054916,-166.21113681074013,-166.212653598008,-167.970515916722,1.7593791059818784,0.001516787267860309,1.757862318714018
321G,HeMg,LiNa,4,2.1,3.8080001635054916,-166.1795790151764,-166.212653598008,-167.970515916722,1.7909369015456207,0.033074582831602584,1.757862318714018
321G,HeMg,LiNa,5,2.1,3.8080001635054916,-166.11441112240237,-166.212653598008,-167.970515916722,1.8561047943196343,0.09824247560561616,1.757862318714018
321G,HeMg,LiNa,1,2.2,3.8435612552960814,-164.97405997552028,-166.271578008256,-168.020722473763,3.0466624982427106,1.2975180327357236,1.749144465506987
321G,HeMg,LiNa,2,2.2,3.8435612552960814,-166.1290716357844,-166.271578008256,-168.020722473763,1.891650837978574,0.14250637247158693,1.749144465506987
321G,HeMg,LiNa,3,2.2,3.8435612552960814,-166.27071263640482,-166.271578008256,-168.020722473763,1.7500098373581636,0.0008653718511766328,1.749144465506987
321G,HeMg,LiNa,4,2.2,3.8435612552960814,-166.24456617510782,-166.271578008256,-168.020722473763,1.7761562986551667,0.027011833148179676,1.749144465506987
321G,HeMg,LiNa,5,2.2,3.8435612552960814,-166.17534152479752,-166.271578008256,-168.020722473763,1.8453809489654702,0.09623648345848324,1.749144465506987
321G,HeMg,LiNa,1,2.3,3.879782098749211,-165.00370490078663,-166.317894767651,-168.059206357546,3.055501456759373,1.3141898668643819,1.7413115898949911
321G,HeMg,LiNa,2,2.3,3.879782098749211,-166.1738156035907,-166.317894767651,-168.059206357546,1.8853907539553063,0.14407916406031518,1.7413115898949911
321G,HeMg,LiNa,3,2.3,3.879782098749211,-166.31966604470406,-166.317894767651,-168.059206357546,1.7395403128419389,-0.0017712770530522448,1.7413115898949911
321G,HeMg,LiNa,4,2.3,3.879782098749211,-166.30133804758603,-166.317894767651,-168.059206357546,1.7578683099599743,0.01655672006498321,1.7413115898949911
321G,HeMg,LiNa,5,2.3,3.879782098749211,-166.23527542505525,-166.317894767651,-168.059206357546,1.8239309324907538,0.08261934259576265,1.7413115898949911
321G,HeMg,LiNa,1,2.4000000000000004,3.9126163175599924,-165.02627738666817,-166.356533818352,-168.089082789167,3.0628054024988387,1.3302564316838357,1.732548970815003
321G,HeMg,LiNa,2,2.4000000000000004,3.9126163175599924,-166.21081272384578,-166.356533818352,-168.089082789167,1.8782700653212316,0.1457210945062286,1.732548970815003
321G,HeMg,LiNa,3,2.4000000000000004,3.9126163175599924,-166.36008229361968,-166.356533818352,-168.089082789167,1.729000495547325,-0.0035484752676779863,1.732548970815003
321G,HeMg,LiNa,4,2.4000000000000004,3.9126163175599924,-166.350478392187,-166.356533818352,-168.089082789167,1.7386043969800085,0.006055426165005429,1.732548970815003
321G,HeMg,LiNa,5,2.4000000000000004,3.9126163175599924,-166.29101056819928,-166.356533818352,-168.089082789167,1.7980722209677253,0.06552325015272231,1.732548970815003
