Basis set,Reference,Target,APDFT$n$,Bond length,"$|\Delta ho|$",$E^{	ext{APDFT}}$,$ E^{	ext{T[R]}}$,$E^{	ext{CCSD}}$,$|\Delta E_{	ext{APDFT}}|$,$\Delta E_{	ext{trunc}}$,$\Delta E_{	ext{BS}}$
631G*,HAl,HeMg,5,1.5,3.838384759964544,-199.71192667888332,-199.701877893231,-201.443831177839,1.7319044989556858,-0.010048785652315928,1.7419532846080017
631G*,HAl,HeMg,1,1.6,3.8615119563250238,-198.91933063061575,-199.933058152758,-201.665590286534,2.7462596559182657,1.0137275221422613,1.7325321337760045
631G*,HAl,HeMg,2,1.6,3.8615119563250238,-199.75246233250223,-199.933058152758,-201.665590286534,1.9131279540317792,0.1805958202557747,1.7325321337760045
631G*,HAl,HeMg,3,1.6,3.8615119563250238,-199.9491949833094,-199.933058152758,-201.665590286534,1.7163953032246013,-0.016136830551403136,1.7325321337760045
631G*,HAl,HeMg,4,1.6,3.8615119563250238,-199.95090612039215,-199.933058152758,-201.665590286534,1.7146841661418648,-0.01784796763413965,1.7325321337760045
631G*,HAl,HeMg,5,1.6,3.8615119563250238,-199.94397955227586,-199.933058152758,-201.665590286534,1.7216107342581495,-0.01092139951785498,1.7325321337760045
631G*,HAl,HeMg,1,1.7000000000000002,3.8625203253947182,-199.07205610390503,-200.116128866002,-201.837202697191,2.7651465932859765,1.0440727620969597,1.7210738311890168
631G*,HAl,HeMg,2,1.7000000000000002,3.8625203253947182,-199.9301308769959,-200.116128866002,-201.837202697191,1.9070718201951138,0.185997989006097,1.7210738311890168
631G*,HAl,HeMg,3,1.7000000000000002,3.8625203253947182,-200.1356011060537,-200.116128866002,-201.837202697191,1.7016015911372904,-0.01947224005172643,1.7210738311890168
631G*,HAl,HeMg,4,1.7000000000000002,3.8625203253947182,-200.1355433291085,-200.116128866002,-201.837202697191,1.7016593680825167,-0.01941446310650008,1.7210738311890168
631G*,HAl,HeMg,5,1.7000000000000002,3.8625203253947182,-200.12685771223104,-200.116128866002,-201.837202697191,1.71034498495996,-0.010728846229056899,1.7210738311890168
631G*,HAl,HeMg,1,1.8,3.8770029457186608,-199.18968985894543,-200.260439328226,-201.970031881304,2.7803420223585817,1.070749469280571,1.7095925530780107
631G*,HAl,HeMg,2,1.8,3.8770029457186608,-200.07036084926588,-200.260439328226,-201.970031881304,1.8996710320381283,0.19007847896011754,1.7095925530780107
631G*,HAl,HeMg,3,1.8,3.8770029457186608,-200.28272981906127,-200.260439328226,-201.970031881304,1.6873020622427362,-0.022290490835274568,1.7095925530780107
631G*,HAl,HeMg,4,1.8,3.8770029457186608,-200.28042846335117,-200.260439328226,-201.970031881304,1.6896034179528385,-0.019989135125172197,1.7095925530780107
631G*,HAl,HeMg,5,1.8,3.8770029457186608,-200.27035011632293,-200.260439328226,-201.970031881304,1.6996817649810794,-0.009910788096931356,1.7095925530780107
631G*,HAl,HeMg,1,1.9000000000000001,3.874710084779526,-199.2795019168848,-200.373945314062,-202.072922685947,2.7934207690621804,1.0944433971772014,1.698977371884979
631G*,HAl,HeMg,2,1.9000000000000001,3.874710084779526,-200.18066937743674,-200.373945314062,-202.072922685947,1.8922533085102486,0.19327593662526965,1.698977371884979
631G*,HAl,HeMg,3,1.9000000000000001,3.874710084779526,-200.3986420910386,-200.373945314062,-202.072922685947,1.6742805949083959,-0.024696776976583124,1.698977371884979
631G*,HAl,HeMg,4,1.9000000000000001,3.874710084779526,-200.3938225104683,-200.373945314062,-202.072922685947,1.6791001754786805,-0.01987719640629848,1.698977371884979
631G*,HAl,HeMg,5,1.9000000000000001,3.874710084779526,-200.3827679726234,-200.373945314062,-202.072922685947,1.6901547133235795,-0.008822658561399521,1.698977371884979
631G*,HAl,HeMg,1,2.0,3.888063385306421,-199.34730212962458,-200.463077494153,-202.152775966331,2.805473836706426,1.1157753645284174,1.6896984721780086
631G*,HAl,HeMg,2,2.0,3.888063385306421,-200.26722158081273,-200.463077494153,-202.152775966331,1.885554385518276,0.1958559133402673,1.6896984721780086
631G*,HAl,HeMg,3,2.0,3.888063385306421,-200.48993065125347,-200.463077494153,-202.152775966331,1.6628453150775329,-0.026853157100475755,1.6896984721780086
